w1,w2,label
cash,money,0
grab,take,0
irrational,rational,1
defend,guard,0
instructor,teacher,0
seize,take,0
close,near,0
fine,good,0
active,passive,1
punish,reward,1
negative,positive,1
ambiguous,vague,0
guest,host,1
forward,reverse,1
past,present,1
illegitimate,legitimate,1
correct,true,0
humble,proud,1
error,mistake,0
budge,move,0
brief,lengthy,1
fall,plunge,0
abstract,concrete,1
finish,start,1
foolish,stupid,0
guardian,parent,0
exhibit,show,0
fiction,nonfiction,1
create,destroy,1
keen,sharp,0
discover,find,0
permanently,temporarily,1
agree,disagree,1
begin,start,0
doctor,physician,0
unwanted,wanted,1
giggle,laugh,0
guilt,innocence,1
gather,spread,1
broad,wide,0
answer,question,1
rotate,turn,0
direct,indirect,1
loudly,softly,1
recall,remember,0
domestic,foreign,1
cause,source,0
important,significant,0
hero,villain,1
happy,unhappy,1
